price,distance,height,seating_angle,visibility,turns_visible,track_length_visible,range_visible,seat_type,sun_cover,rain_cover,speed_category,overtake_probability,braking_zone,tickets_sold_first_hour
4249,86,6,52,43,0,155,164,General,0.56,0.7,Medium,0.74,1,189.2
3111,174,1,47,68,3,461,78,VIP,0.29,0.95,Fast,0.63,1,216.4
4104,109,16,61,60,0,235,267,VIP,0.58,0.48,Fast,0.81,0,160.9
3672,30,17,63,56,0,450,137,General,0.63,0.89,Medium,0.39,1,211.4
4019,178,26,39,96,2,218,156,Premium,0.01,0.07,Slow,0.16,0,169.3
3249,17,5,63,45,2,176,401,General,0.23,0.3,Medium,0.78,0,255.3
4387,56,9,87,75,1,437,444,General,0.15,0.31,Slow,0.43,0,214.4
2715,55,5,10,85,1,318,368,VIP,0.17,0.62,Medium,0.78,1,262.0
2840,126,32,5,41,3,354,292,Premium,0.6,0.52,Fast,0.88,1,227.1
89,170,6,56,92,3,123,368,VIP,0.63,0.76,Fast,0.39,1,154.5
1533,51,15,36,87,4,232,240,VIP,0.33,0.63,Medium,0.23,1,206.4
498,57,5,81,41,2,270,269,General,0.23,0.17,Medium,0.56,0,172.8
4784,123,5,82,95,4,440,171,General,0.62,0.51,Fast,0.39,0,246.5
1731,139,23,68,58,0,295,312,General,0.57,0.6,Medium,0.61,0,148.7
2929,52,19,79,69,2,487,433,General,0.04,0.2,Medium,0.36,1,287.3
998,133,29,23,76,1,173,427,General,0.59,0.06,Medium,0.3,1,193.4
209,102,14,75,81,2,363,264,General,0.3,0.79,Medium,0.81,0,155.4
2858,139,17,85,47,4,469,457,Premium,0.8,0.11,Fast,0.6,0,175.2
1958,170,2,21,72,0,152,127,General,0.66,0.18,Medium,0.28,1,148.9
1036,146,12,54,94,2,176,17,Premium,0.45,0.72,Medium,0.53,0,120.9
2226,90,28,1,85,4,380,362,Premium,0.43,0.02,Fast,0.83,0,234.5
4076,159,26,40,93,1,464,365,VIP,0.65,0.97,Slow,0.48,0,195.8
2397,154,27,75,75,4,337,139,General,0.66,0.88,Fast,0.47,1,158.6
1634,84,19,8,78,0,183,341,General,0.54,0.03,Slow,0.23,0,137.6
2054,112,23,12,58,0,458,145,General,0.32,0.3,Fast,0.55,1,168.7
1347,107,17,59,90,2,207,113,General,0.46,0.55,Slow,0.66,0,133.1
4547,128,7,74,54,3,279,221,Premium,0.72,0.47,Medium,0.47,0,273.3
2312,175,24,20,70,1,421,174,Premium,0.43,0.99,Medium,0.78,1,197.7
2944,55,5,70,69,1,159,454,VIP,0.02,0.35,Medium,0.55,0,230.7
3971,131,29,28,73,0,152,55,General,0.73,0.81,Fast,0.25,1,115.6
3712,153,13,66,80,0,111,25,General,0.76,0.91,Slow,0.89,1,159.7
3612,143,10,39,77,3,187,119,Premium,0.39,0.94,Slow,0.55,1,178.4
3042,120,24,4,49,2,372,37,General,0.46,0.84,Slow,0.63,1,162.5
656,122,18,42,96,1,259,366,General,0.57,0.45,Medium,0.45,0,188.6
4444,52,25,46,78,4,125,418,Premium,0.48,0.5,Slow,0.28,0,160.8
1744,167,9,43,97,3,457,147,General,0.3,0.62,Fast,0.64,0,149.2
2754,104,1,0,90,0,456,129,VIP,0.55,0.03,Medium,0.48,0,194.8
1998,94,28,19,49,1,441,267,VIP,0.76,0.43,Fast,0.44,0,167.7
1902,162,16,50,94,4,383,213,General,0.28,0.81,Medium,0.47,0,186.2
4659,51,20,69,64,0,474,188,General,0.19,0.14,Fast,0.82,0,250.0
3484,65,27,66,92,3,460,262,Premium,0.17,0.46,Fast,0.19,1,249.2
3875,140,10,34,52,2,171,361,General,0.28,0.06,Fast,0.76,1,179.8
3383,6,0,56,44,4,401,171,VIP,0.01,0.36,Medium,0.29,0,247.1
2774,45,5,49,79,1,221,262,VIP,0.51,0.36,Fast,0.9,0,204.5
4632,127,20,73,87,1,142,210,VIP,0.66,0.57,Medium,0.64,0,158.2
4638,81,4,76,54,2,423,28,Premium,0.62,0.68,Fast,0.35,0,176.4
1646,174,32,33,74,0,352,133,Premium,0.08,0.1,Medium,0.68,1,132.4
2258,86,3,84,72,0,392,333,General,0.81,0.08,Fast,0.48,0,232.4
1444,30,19,83,62,3,375,206,Premium,0.79,0.94,Medium,0.42,1,207.8
348,187,28,0,52,1,328,284,Premium,0.3,0.98,Fast,0.45,0,95.9
1581,119,1,72,84,2,182,264,Premium,0.51,0.41,Medium,0.22,1,174.7
1611,26,10,72,50,3,277,177,Premium,0.27,0.57,Medium,0.86,0,262.5
2801,38,20,47,93,2,254,375,Premium,0.81,0.89,Medium,0.34,1,169.7
1632,150,7,76,81,4,132,322,General,0.44,0.08,Fast,0.71,1,187.4
4538,18,23,32,84,4,409,164,General,0.03,0.45,Fast,0.39,0,222.1
3066,137,3,34,70,1,347,283,VIP,0.54,0.55,Fast,0.66,0,195.5
3996,65,27,15,42,3,320,402,Premium,0.22,0.71,Fast,0.39,1,209.2
2257,43,10,60,80,0,241,434,VIP,0.65,0.8,Fast,0.53,1,195.5
1046,77,29,78,58,3,295,25,General,0.27,0.69,Medium,0.67,0,144.4
2463,117,20,51,93,3,142,405,VIP,0.14,0.91,Fast,0.14,1,182.7
958,52,21,85,91,4,249,364,Premium,0.06,0.34,Fast,0.52,0,211.5
2613,156,3,57,58,1,148,266,General,0.19,0.38,Fast,0.33,1,188.5
1472,49,22,44,98,0,363,129,Premium,0.47,0.68,Fast,0.31,1,188.3
3383,170,5,24,59,2,437,394,General,0.84,0.38,Slow,0.34,1,154.1
828,135,22,68,74,3,380,257,General,0.1,0.72,Fast,0.5,0,133.0
2406,58,20,4,64,3,386,203,Premium,0.77,0.52,Slow,0.36,1,207.1
2527,38,8,83,40,0,145,223,General,0.26,0.16,Fast,0.37,1,204.0
1020,170,15,16,56,1,379,77,Premium,0.31,0.6,Fast,0.3,1,122.9
539,39,10,82,53,4,471,454,VIP,0.17,0.46,Fast,0.59,1,222.1
3237,126,2,60,52,3,331,240,Premium,0.04,0.15,Fast,0.24,0,162.8
2024,179,32,87,62,1,356,98,VIP,0.66,0.44,Fast,0.77,1,136.2
1406,144,17,51,46,4,266,456,General,0.74,0.64,Fast,0.25,0,190.7
2880,165,4,28,44,4,335,307,Premium,0.45,0.9,Fast,0.31,1,181.0
460,98,28,74,59,1,172,218,General,0.24,0.51,Medium,0.19,1,167.7
885,168,22,40,78,1,267,58,General,0.11,0.64,Slow,0.67,0,129.1
1735,168,4,73,60,2,217,85,General,0.62,0.06,Fast,0.51,1,140.8
2370,110,18,81,64,4,423,166,General,0.6,0.82,Slow,0.52,0,248.0
1879,14,30,19,84,1,467,15,General,0.08,0.82,Medium,0.58,0,203.6
4381,94,16,1,43,0,351,398,General,0.36,0.74,Medium,0.24,1,187.4
2817,143,23,47,97,4,284,287,General,0.83,0.51,Fast,0.49,0,198.6
391,100,15,47,59,2,266,450,VIP,0.72,0.4,Fast,0.32,1,142.8
229,41,14,83,73,4,448,209,Premium,0.17,0.3,Fast,0.82,0,219.5
848,168,19,29,82,0,308,338,VIP,0.39,0.21,Fast,0.32,0,116.0
4180,153,29,55,62,2,175,20,General,0.77,0.38,Medium,0.23,0,174.6
1546,145,4,17,71,2,312,423,VIP,0.24,0.41,Medium,0.43,1,173.8
1214,92,32,54,42,2,180,192,Premium,0.04,0.77,Slow,0.89,0,131.7
1543,124,24,8,87,1,159,428,VIP,0.48,0.13,Fast,0.15,1,163.6
768,73,22,54,78,3,257,22,General,0.11,0.62,Medium,0.66,1,160.1
2776,91,16,21,54,4,181,250,General,0.42,0.92,Slow,0.27,1,163.3
837,157,27,75,79,2,309,111,VIP,0.47,0.67,Fast,0.43,1,134.9
3492,8,5,51,85,1,380,167,VIP,0.62,0.63,Fast,0.56,0,211.0
477,161,10,63,73,0,219,335,General,0.44,0.76,Medium,0.82,0,136.0
3083,145,22,56,44,4,111,253,General,0.07,0.16,Slow,0.43,1,227.4
3104,16,23,51,63,4,347,239,Premium,0.01,0.72,Medium,0.16,0,214.9
1690,174,26,29,84,2,166,79,VIP,0.17,0.81,Medium,0.76,1,132.7
1827,175,19,12,83,4,406,93,VIP,0.8,0.46,Medium,0.66,1,159.0
2199,60,9,63,72,2,325,16,VIP,0.2,0.84,Fast,0.34,0,207.3
1133,35,28,38,90,3,135,308,General,0.46,0.07,Medium,0.36,0,208.4
3989,172,20,62,89,4,412,453,General,0.61,0.3,Fast,0.57,0,172.5
2168,89,12,87,70,0,228,256,General,0.75,0.05,Fast,0.19,1,151.2
2762,32,21,3,88,0,359,15,VIP,0.71,0.28,Fast,0.39,1,208.5
3933,99,23,43,75,0,301,331,General,0.53,0.7,Fast,0.86,1,198.9
2513,68,0,70,40,2,338,82,Premium,0.67,0.41,Fast,0.44,0,180.1
1986,32,13,34,97,2,359,212,Premium,0.83,0.28,Medium,0.4,0,214.6
2098,25,3,40,91,0,368,140,General,0.2,0.98,Fast,0.65,1,230.8
2555,21,9,73,85,3,159,272,General,0.38,0.82,Medium,0.76,1,237.7
708,100,27,18,58,3,436,373,Premium,0.56,0.52,Fast,0.3,1,176.5
2981,154,22,83,42,2,158,143,General,0.82,0.42,Fast,0.34,0,115.7
3893,38,26,86,57,2,255,108,Premium,0.34,0.7,Medium,0.52,1,255.8
1388,139,19,4,51,3,284,408,VIP,0.05,0.18,Slow,0.85,1,163.3
2508,96,21,0,54,4,403,168,General,0.59,0.01,Medium,0.47,1,168.9
314,101,29,75,79,0,327,123,Premium,0.34,0.31,Fast,0.44,0,142.3
4191,145,24,78,64,0,218,71,General,0.61,0.27,Slow,0.62,0,136.5
1022,187,19,1,61,2,164,164,General,0.23,0.29,Medium,0.15,1,83.3
2687,86,6,48,75,3,443,246,General,0.82,0.47,Slow,0.6,1,207.1
1494,100,5,46,62,3,248,53,Premium,0.31,0.56,Fast,0.38,0,158.6
1975,10,25,43,95,0,171,240,General,0.4,0.55,Fast,0.64,1,190.1
820,101,2,38,78,1,459,261,General,0.29,0.56,Medium,0.37,0,165.7
3750,111,24,23,49,1,192,414,Premium,0.64,0.14,Medium,0.32,0,169.0
153,137,30,31,69,4,414,450,Premium,0.28,0.19,Fast,0.66,0,220.8
3215,136,26,55,95,3,235,299,Premium,0.75,0.98,Medium,0.7,1,186.4
3734,155,20,28,54,2,232,349,Premium,0.35,0.23,Slow,0.54,1,166.6
3867,14,15,28,60,3,203,405,VIP,0.82,0.94,Medium,0.28,1,194.1
2320,31,1,74,95,3,481,79,VIP,0.45,0.1,Fast,0.41,0,253.8
3601,56,19,75,71,0,232,162,General,0.73,0.09,Fast,0.42,1,230.3
4572,40,3,85,56,3,144,421,VIP,0.58,0.15,Fast,0.19,0,231.8
675,67,4,82,87,0,207,110,VIP,0.34,0.55,Fast,0.9,1,192.6
4715,161,5,71,95,2,375,332,VIP,0.53,0.15,Fast,0.89,0,226.5
3422,178,9,26,53,3,179,155,General,0.7,0.11,Slow,0.62,0,146.6
1110,99,10,79,73,1,288,24,VIP,0.5,0.99,Medium,0.71,1,145.8
3508,150,16,40,77,0,370,313,Premium,0.77,0.37,Medium,0.12,1,162.7
2486,23,15,2,60,3,140,235,General,0.1,0.83,Fast,0.3,1,184.6
4462,99,10,44,56,0,455,168,General,0.58,0.05,Fast,0.65,0,221.8
4479,174,17,43,70,1,395,194,Premium,0.52,0.3,Fast,0.65,0,171.0
4538,147,20,39,71,4,179,252,General,0.59,0.69,Medium,0.68,0,215.8
3278,96,2,84,42,3,202,118,General,0.68,0.13,Slow,0.18,1,219.2
2695,16,4,54,78,3,377,84,VIP,0.59,0.72,Fast,0.25,1,254.2
280,84,18,10,59,0,287,274,VIP,0.1,0.68,Fast,0.57,0,152.3
738,170,10,9,60,4,276,351,VIP,0.15,0.15,Medium,0.45,0,157.2
4038,26,30,46,82,0,192,130,Premium,0.54,0.52,Fast,0.61,0,168.1
4613,66,31,0,45,2,364,418,General,0.59,0.95,Fast,0.52,1,168.8
3030,137,28,75,45,0,479,107,Premium,0.51,0.26,Medium,0.49,1,198.0
1729,93,21,30,74,2,157,340,VIP,0.2,1.0,Fast,0.41,1,170.0
4397,130,2,79,44,4,472,423,General,0.75,0.11,Fast,0.56,1,206.3
3935,58,21,35,72,1,323,221,General,0.69,0.9,Medium,0.78,1,238.6
3250,126,17,26,79,2,225,54,General,0.23,0.11,Medium,0.31,0,141.2
2036,141,19,7,49,3,115,376,General,0.34,0.18,Fast,0.51,0,169.8
3460,29,6,25,62,2,343,433,VIP,0.45,0.65,Fast,0.31,0,231.3
3160,110,24,50,45,1,488,394,General,0.79,0.52,Slow,0.51,1,225.1
3176,26,28,66,64,0,458,214,General,0.39,0.3,Fast,0.59,1,206.2
2140,135,16,89,94,1,364,207,General,0.26,0.84,Fast,0.78,1,166.5
3630,143,30,80,60,4,117,454,General,0.74,0.51,Slow,0.72,0,184.9
1709,117,12,6,57,1,349,330,General,0.27,0.62,Fast,0.1,1,154.3
1618,33,14,28,77,2,488,331,Premium,0.35,0.81,Slow,0.39,0,189.5
3363,31,3,54,94,4,422,144,General,0.76,0.66,Slow,0.62,0,203.8
2491,74,26,27,60,3,284,443,Premium,0.41,0.55,Fast,0.65,0,168.2
187,101,28,19,47,3,374,57,VIP,0.24,0.92,Medium,0.22,1,125.3
1261,109,22,67,92,1,415,22,Premium,0.54,0.66,Medium,0.51,0,137.1
3642,44,7,54,47,3,410,447,VIP,0.83,0.32,Fast,0.41,0,235.2
1267,9,29,71,87,2,273,288,General,0.55,0.35,Medium,0.56,0,239.0
54,151,8,61,40,3,195,153,Premium,0.32,0.37,Fast,0.37,0,139.4
1696,142,8,67,82,3,226,384,General,0.24,0.74,Fast,0.82,0,185.4
1197,46,14,64,91,4,188,409,VIP,0.24,0.52,Fast,0.28,0,204.1
2669,48,1,63,51,2,332,301,General,0.79,0.03,Fast,0.71,0,200.2
1099,120,16,13,59,1,236,91,General,0.72,0.34,Fast,0.63,0,102.9
2165,117,25,46,84,2,305,304,General,0.07,0.4,Fast,0.5,1,189.4
3985,177,30,52,66,3,157,352,VIP,0.0,0.64,Medium,0.5,0,141.7
3270,95,29,44,77,1,453,343,Premium,0.58,0.54,Fast,0.22,0,150.0
2977,132,23,51,95,1,257,99,General,0.31,0.16,Medium,0.44,0,145.3
3660,82,13,72,86,3,342,350,General,0.69,0.87,Medium,0.52,1,204.6
4560,69,5,27,63,4,455,230,Premium,0.6,0.18,Medium,0.88,0,302.5
3011,76,32,32,97,1,219,132,VIP,0.05,0.62,Slow,0.36,0,243.6
1517,114,1,22,68,4,373,95,VIP,0.8,0.15,Fast,0.64,1,165.4
4777,178,32,83,98,1,310,297,General,0.82,0.6,Medium,0.35,0,213.5
2300,167,24,72,71,2,489,172,General,0.83,0.4,Fast,0.54,1,149.7
3504,140,5,65,53,0,470,101,General,0.82,0.65,Medium,0.5,1,215.1
1189,51,25,0,81,4,154,445,General,0.16,0.03,Medium,0.57,1,228.6
4460,171,9,31,64,3,148,263,Premium,0.64,0.14,Fast,0.16,1,167.2
1180,154,5,37,58,0,281,403,VIP,0.55,0.45,Medium,0.37,1,144.9
3652,131,25,79,91,0,140,138,Premium,0.15,0.82,Medium,0.59,0,130.3
2071,65,10,35,66,4,357,238,Premium,0.56,0.55,Fast,0.69,0,183.5
1049,177,18,24,77,4,242,306,General,0.31,0.4,Medium,0.62,0,163.9
2992,32,26,78,51,4,135,249,General,0.66,0.55,Fast,0.67,0,150.9
4108,10,1,67,87,4,447,50,General,0.04,0.33,Fast,0.82,1,272.8
2696,102,27,27,64,2,297,64,VIP,0.81,0.97,Fast,0.1,1,131.8
4567,93,8,71,46,0,345,352,General,0.24,0.37,Slow,0.37,0,160.5
3637,67,29,79,45,1,139,59,VIP,0.07,0.39,Medium,0.46,1,187.1
3307,12,29,82,60,4,421,92,VIP,0.41,0.29,Fast,0.43,1,283.3
3986,22,25,33,50,4,117,183,General,0.03,0.35,Medium,0.71,1,323.6
3707,142,2,12,62,1,485,286,Premium,0.51,0.54,Medium,0.67,0,219.8
3805,19,6,72,93,2,476,359,General,0.78,0.21,Fast,0.63,0,245.7
1966,38,24,76,51,2,310,31,VIP,0.36,0.64,Fast,0.71,0,180.8
1208,72,16,36,49,1,160,293,VIP,0.3,1.0,Medium,0.86,1,144.6
1991,71,6,49,76,0,331,194,VIP,0.04,0.52,Medium,0.15,1,190.9
370,57,0,78,75,4,166,326,VIP,0.76,0.58,Fast,0.39,0,169.1
3776,130,9,49,93,2,293,97,Premium,0.15,0.02,Fast,0.34,0,195.0
234,14,22,66,79,3,198,274,VIP,0.34,0.93,Fast,0.54,1,174.0
1672,82,2,26,54,3,326,91,General,0.62,0.51,Fast,0.13,0,148.1
3685,148,22,7,66,0,141,249,General,0.46,0.25,Medium,0.84,1,200.2
1237,96,30,17,68,3,317,275,General,0.64,0.57,Fast,0.53,1,134.3
3433,34,15,38,43,3,417,142,Premium,0.43,0.35,Fast,0.44,0,214.8
297,95,4,40,75,1,416,432,VIP,0.6,0.19,Medium,0.35,0,168.3
79,67,26,42,45,2,165,66,VIP,0.05,0.98,Slow,0.82,0,132.4
118,12,7,4,95,2,420,377,General,0.26,0.62,Medium,0.89,0,239.7
3785,9,30,25,68,3,214,316,VIP,0.4,0.64,Slow,0.78,1,215.0
4507,98,6,3,42,1,229,296,General,0.23,0.26,Medium,0.3,0,222.7
2024,33,2,59,75,4,261,389,General,0.53,0.8,Fast,0.62,0,249.6
441,117,24,45,66,4,189,375,General,0.8,0.18,Fast,0.35,1,123.6
1909,125,31,78,61,3,253,358,Premium,0.13,0.44,Medium,0.21,1,139.6
2160,136,28,72,46,4,368,208,Premium,0.12,0.99,Fast,0.8,1,197.1
4600,126,16,85,49,0,192,150,VIP,0.12,0.05,Fast,0.83,0,238.6
2498,78,13,36,59,1,116,221,General,0.53,0.79,Fast,0.53,0,187.3
680,122,23,60,74,3,216,243,VIP,0.13,0.3,Medium,0.54,0,172.3
4668,63,23,87,90,4,182,96,VIP,0.59,0.8,Fast,0.69,1,212.2
2315,122,8,52,53,3,316,146,Premium,0.04,0.83,Slow,0.18,0,163.0
4014,124,11,42,52,2,443,104,Premium,0.83,0.77,Fast,0.21,1,153.1
4334,52,16,81,65,4,119,244,VIP,0.45,0.28,Fast,0.29,1,279.4
1079,100,17,1,48,1,457,42,General,0.11,0.32,Slow,0.14,1,141.0
1675,109,5,15,69,4,458,343,General,0.14,0.9,Fast,0.33,0,182.3
1957,154,29,9,96,4,264,287,VIP,0.35,0.47,Medium,0.83,1,190.7
4249,24,4,65,64,2,164,76,General,0.72,0.92,Fast,0.26,0,146.4
3409,175,2,54,50,1,158,124,Premium,0.0,0.27,Medium,0.62,1,241.0
4495,54,8,58,63,2,309,45,VIP,0.03,0.19,Medium,0.25,0,196.0
3120,52,6,9,88,4,374,293,VIP,0.16,0.42,Fast,0.54,0,307.2
2089,48,5,29,63,3,175,112,General,0.13,0.75,Fast,0.62,0,182.7
2767,9,21,80,74,2,281,68,Premium,0.77,0.07,Fast,0.9,0,196.7
2233,107,2,69,79,0,383,55,Premium,0.06,0.16,Medium,0.45,0,208.8
1290,131,3,75,79,0,191,313,General,0.24,0.16,Medium,0.62,0,162.9
3532,185,11,5,86,2,178,58,Premium,0.58,0.75,Fast,0.41,1,134.3
1323,28,4,44,43,0,398,15,Premium,0.34,0.65,Fast,0.76,1,181.3
1194,101,28,56,65,3,114,94,General,0.83,0.47,Medium,0.55,1,123.7
1684,174,8,43,53,3,349,86,General,0.39,0.2,Slow,0.23,0,140.8
2884,60,17,24,42,2,356,55,Premium,0.84,0.32,Fast,0.76,1,247.1
782,85,14,49,43,0,255,279,General,0.16,0.49,Fast,0.35,1,158.9
4464,28,14,56,80,2,230,408,General,0.59,0.52,Slow,0.16,1,258.2
231,43,31,83,41,0,286,268,General,0.35,0.71,Fast,0.32,0,126.0
1628,154,21,84,91,3,217,215,General,0.01,0.33,Medium,0.17,0,141.1
1957,37,3,38,45,4,118,185,General,0.79,0.76,Slow,0.52,0,142.1
1963,105,2,30,95,1,476,154,General,0.08,0.38,Fast,0.64,1,228.6
1114,175,0,22,82,4,163,235,Premium,0.8,0.53,Fast,0.58,1,131.4
2499,144,17,26,73,1,104,268,Premium,0.58,0.23,Medium,0.88,0,156.9
1541,21,16,89,52,2,252,164,General,0.76,0.83,Fast,0.61,0,145.6
1621,47,24,88,68,4,172,95,General,0.51,0.98,Fast,0.69,1,171.9
472,41,0,35,88,0,129,442,General,0.7,0.54,Medium,0.77,0,187.6
137,166,30,15,80,2,339,345,Premium,0.72,0.28,Fast,0.47,0,108.4
2256,95,17,62,81,0,199,328,VIP,0.63,0.2,Medium,0.58,0,158.9
3540,153,12,55,73,2,202,318,General,0.47,0.46,Fast,0.8,1,185.3
4035,72,6,14,43,1,471,54,Premium,0.4,0.64,Fast,0.58,1,191.7
3546,85,7,38,68,2,199,155,Premium,0.84,0.78,Fast,0.69,1,212.0
525,162,11,16,88,2,302,251,General,0.77,0.98,Slow,0.54,0,115.0
4123,83,32,34,81,3,293,211,VIP,0.58,0.04,Medium,0.16,1,221.3
2889,120,15,36,69,4,245,260,General,0.32,0.03,Fast,0.72,0,225.1
3084,144,12,5,98,4,234,233,Premium,0.41,0.12,Fast,0.87,1,213.2
631,173,17,51,63,2,360,444,General,0.01,0.44,Fast,0.59,0,127.6
3132,173,8,58,58,1,267,125,General,0.81,0.14,Slow,0.87,0,123.3
4169,87,13,18,57,3,418,53,Premium,0.36,0.72,Fast,0.29,0,176.7
2286,43,26,41,79,0,168,427,VIP,0.1,0.52,Fast,0.46,1,213.8
4223,113,26,65,64,3,414,334,General,0.09,0.44,Medium,0.38,1,298.6
351,105,1,34,74,3,103,322,VIP,0.62,0.44,Fast,0.33,1,221.8
1306,70,14,40,55,3,138,456,General,0.12,0.54,Slow,0.37,1,182.0
788,136,2,33,97,2,107,43,General,0.22,0.2,Medium,0.34,0,149.4
3650,35,16,27,67,4,284,336,General,0.26,0.32,Fast,0.6,0,189.1
201,108,27,36,61,2,284,37,VIP,0.84,0.41,Medium,0.84,0,131.8
1111,49,29,10,70,4,124,118,General,0.58,0.75,Medium,0.65,1,177.2
4422,133,8,43,95,1,262,398,VIP,0.4,0.64,Medium,0.64,1,251.5
3647,104,28,80,92,4,384,83,Premium,0.41,0.61,Fast,0.21,0,160.0
2313,164,10,61,72,4,477,280,General,0.4,0.21,Medium,0.19,0,213.6
2349,170,3,9,86,2,448,365,Premium,0.55,0.96,Slow,0.8,0,184.7
3950,13,17,84,76,0,256,163,General,0.26,0.65,Medium,0.68,0,285.7
